task_id,phase,backlog_status,ticket_path,freeze_status,notes
BE-P0-001,P0,Done,docs/tickets/BE-P0-001.md,done,
BE-P0-002,P0,Done,docs/tickets/BE-P0-002.md,done,
BE-P0-003,P0,Done,docs/tickets/BE-P0-003.md,done,
BE-P0-004,P0,Done,docs/tickets/BE-P0-004.md,done,
BE-P0-005,P0,Done,docs/tickets/BE-P0-005.md,done,cites_HO_DEFAULTS
BE-P0-006,P0,Done,docs/tickets/BE-P0-006.md,done,
BE-P0-007,P0,Done,docs/tickets/BE-P0-007.md,done,
BE-P0-008,P0,Done,docs/tickets/BE-P0-008.md,done,
BE-P0-009,P0,Done,docs/tickets/BE-P0-009.md,done,cites_HO_DEFAULTS
BE-P0-010,P0,Done,docs/tickets/BE-P0-010.md,done,
BE-P0-011,P0,Done,docs/tickets/BE-P0-011.md,done,
BE-FND-001,P1,Done,docs/tickets/BE-FND-001.md,done,
BE-FND-002,P1,Done,docs/tickets/BE-FND-002.md,done,
BE-FND-003,P1,Done,docs/tickets/BE-FND-003.md,done,
BE-FND-004,P1,Done,docs/tickets/BE-FND-004.md,done,
BE-FND-005,P1,Done,docs/tickets/BE-FND-005.md,done,
BE-FND-006,P1,In Progress,docs/tickets/BE-FND-006.md,doc-frozen,
BE-FND-007,P1,Done,docs/tickets/BE-FND-007.md,done,
BE-FND-008,P1,Done,docs/tickets/BE-FND-008.md,done,
BE-FND-009,P1,Done,docs/tickets/BE-FND-009.md,done,
BE-FND-010,P1,Done,docs/tickets/BE-FND-010.md,done,
BE-FND-011,P1,Done,docs/tickets/BE-FND-011.md,done,
BE-FND-012,P1,Done,docs/tickets/BE-FND-012.md,done,
BE-FND-013,P1,Done,docs/tickets/BE-FND-013.md,done,
BE-FND-014,P1,In Progress,docs/tickets/BE-FND-014.md,doc-frozen,
BE-FND-015,P1,Not Started,docs/tickets/BE-FND-015.md,doc-frozen,
BE-FND-016,P1,Done,docs/tickets/BE-FND-016.md,done,
BE-FND-017,P1,Done,docs/tickets/BE-FND-017.md,done,
BE-FND-018,P1,Done,docs/tickets/BE-FND-018.md,done,cites_HO_DEFAULTS
BE-IDN-001,P2,Done,docs/tickets/BE-IDN-001.md,done,
BE-IDN-002,P2,Done,docs/tickets/BE-IDN-002.md,done,
BE-IDN-003,P2,Done,docs/tickets/BE-IDN-003.md,done,
BE-IDN-004,P2,Done,docs/tickets/BE-IDN-004.md,done,
BE-IDN-005,P2,Done,docs/tickets/BE-IDN-005.md,done,
BE-IDN-006,P2,Done,docs/tickets/BE-IDN-006.md,done,
BE-IDN-007,P2,Done,docs/tickets/BE-IDN-007.md,done,
BE-IDN-008,P2,Done,docs/tickets/BE-IDN-008.md,done,cites_HO_DEFAULTS
BE-IDN-009,P2,Done,docs/tickets/BE-IDN-009.md,done,
BE-IDN-010,P2,Done,docs/tickets/BE-IDN-010.md,done,
BE-IDN-011,P2,Done,docs/tickets/BE-IDN-011.md,done,
BE-IDN-012,P2,Done,docs/tickets/BE-IDN-012.md,done,
BE-IDN-013,P2,Done,docs/tickets/BE-IDN-013.md,done,
BE-IDN-014,P2,Done,docs/tickets/BE-IDN-014.md,done,
BE-IDN-015,P2,Done,docs/tickets/BE-IDN-015.md,done,
BE-CUS-001,P3,Not Started,docs/tickets/BE-CUS-001.md,doc-frozen,
BE-CUS-002,P3,Not Started,docs/tickets/BE-CUS-002.md,doc-frozen,
BE-CUS-003,P3,Not Started,docs/tickets/BE-CUS-003.md,doc-frozen,
BE-CUS-004,P3,Done,docs/tickets/BE-CUS-004.md,done,
BE-CAT-001,P3,Not Started,docs/tickets/BE-CAT-001.md,doc-frozen,
BE-CAT-002,P3,Not Started,docs/tickets/BE-CAT-002.md,doc-frozen,
BE-CAT-003,P3,Done,docs/tickets/BE-CAT-003.md,done,cites_HO_DEFAULTS
BE-CAT-004,P3,Done,docs/tickets/BE-CAT-004.md,done,
BE-IMP-001,P3,Done,docs/tickets/BE-IMP-001.md,done,
BE-IMP-002,P3,Done,docs/tickets/BE-IMP-002.md,done,cites_HO_DEFAULTS
BE-IMP-003,P3,Done,docs/tickets/BE-IMP-003.md,done,
BE-IMP-004,P3,Done,docs/tickets/BE-IMP-004.md,done,
BE-IMP-005,P3,Done,docs/tickets/BE-IMP-005.md,done,
BE-INV-001,P4,Not Started,docs/tickets/BE-INV-001.md,doc-frozen,
BE-INV-002,P4,Not Started,docs/tickets/BE-INV-002.md,doc-frozen,
BE-INV-003,P4,Not Started,docs/tickets/BE-INV-003.md,doc-frozen,
BE-INV-004,P4,Not Started,docs/tickets/BE-INV-004.md,doc-frozen,
BE-INV-005,P4,Not Started,docs/tickets/BE-INV-005.md,doc-frozen,
BE-INV-006,P4,Not Started,docs/tickets/BE-INV-006.md,doc-frozen,
BE-INV-007,P4,Not Started,docs/tickets/BE-INV-007.md,doc-frozen,
BE-INV-008,P4,Not Started,docs/tickets/BE-INV-008.md,doc-frozen,
BE-KNW-001,P4,Not Started,docs/tickets/BE-KNW-001.md,doc-frozen,
BE-KNW-002,P4,Not Started,docs/tickets/BE-KNW-002.md,doc-frozen,
BE-KNW-003,P4,Not Started,docs/tickets/BE-KNW-003.md,doc-frozen,
BE-KNW-004,P4,Not Started,docs/tickets/BE-KNW-004.md,doc-frozen,
BE-KNW-005,P4,Not Started,docs/tickets/BE-KNW-005.md,doc-frozen,
BE-KNW-006,P4,Not Started,docs/tickets/BE-KNW-006.md,doc-frozen,
BE-CHN-001,P5,Not Started,docs/tickets/BE-CHN-001.md,doc-frozen,
BE-CHN-002,P5,Not Started,docs/tickets/BE-CHN-002.md,doc-frozen,
BE-CHN-003,P5,Not Started,docs/tickets/BE-CHN-003.md,doc-frozen,
BE-CHN-004,P5,Not Started,docs/tickets/BE-CHN-004.md,doc-frozen,
BE-CHN-005,P5,Not Started,docs/tickets/BE-CHN-005.md,doc-frozen,
BE-CHN-006,P5,Not Started,docs/tickets/BE-CHN-006.md,doc-frozen,
BE-CHN-007,P5,Not Started,docs/tickets/BE-CHN-007.md,doc-frozen,
BE-CHN-008,P5,Not Started,docs/tickets/BE-CHN-008.md,doc-frozen,
BE-CHN-009,P5,Not Started,docs/tickets/BE-CHN-009.md,doc-frozen,
BE-CHN-010,P5,Not Started,docs/tickets/BE-CHN-010.md,doc-frozen,
BE-CHN-011,P5,Not Started,docs/tickets/BE-CHN-011.md,doc-frozen,
BE-CON-001,P6,Not Started,docs/tickets/BE-CON-001.md,doc-frozen,
BE-CON-002,P6,Not Started,docs/tickets/BE-CON-002.md,doc-frozen,
BE-CON-003,P6,Not Started,docs/tickets/BE-CON-003.md,doc-frozen,
BE-CON-004,P6,Not Started,docs/tickets/BE-CON-004.md,doc-frozen,
BE-CON-005,P6,Not Started,docs/tickets/BE-CON-005.md,doc-frozen,
BE-CON-006,P6,Not Started,docs/tickets/BE-CON-006.md,doc-frozen,
BE-CON-007,P6,Not Started,docs/tickets/BE-CON-007.md,doc-frozen,
BE-CON-008,P6,Not Started,docs/tickets/BE-CON-008.md,doc-frozen,
BE-CON-009,P6,Not Started,docs/tickets/BE-CON-009.md,doc-frozen,
BE-CON-010,P6,Not Started,docs/tickets/BE-CON-010.md,doc-frozen,
BE-CON-011,P6,Not Started,docs/tickets/BE-CON-011.md,doc-frozen,
BE-CON-012,P6,Not Started,docs/tickets/BE-CON-012.md,doc-frozen,
BE-ORD-001,P7,Not Started,docs/tickets/BE-ORD-001.md,doc-frozen,cites_HO_DEFAULTS
BE-ORD-002,P7,Not Started,docs/tickets/BE-ORD-002.md,doc-frozen,cites_HO_DEFAULTS
BE-ORD-003,P7,Not Started,docs/tickets/BE-ORD-003.md,doc-frozen,
BE-ORD-004,P7,Not Started,docs/tickets/BE-ORD-004.md,doc-frozen,
BE-ORD-005,P7,Not Started,docs/tickets/BE-ORD-005.md,doc-frozen,
BE-ORD-006,P7,Not Started,docs/tickets/BE-ORD-006.md,doc-frozen,
BE-ORD-007,P7,Not Started,docs/tickets/BE-ORD-007.md,doc-frozen,
BE-PAY-001,P7,Not Started,docs/tickets/BE-PAY-001.md,doc-frozen,cites_HO_DEFAULTS
BE-PAY-002,P7,Not Started,docs/tickets/BE-PAY-002.md,doc-frozen,cites_HO_DEFAULTS
BE-PAY-003,P7,Not Started,docs/tickets/BE-PAY-003.md,doc-frozen,
BE-FUL-001,P7,Not Started,docs/tickets/BE-FUL-001.md,doc-frozen,cites_HO_DEFAULTS
BE-FUL-002,P7,Not Started,docs/tickets/BE-FUL-002.md,doc-frozen,
BE-RET-001,P7,Not Started,docs/tickets/BE-RET-001.md,doc-frozen,cites_HO_DEFAULTS
BE-ORD-008,P7,Not Started,docs/tickets/BE-ORD-008.md,doc-frozen,
BE-AI-001,P8,Not Started,docs/tickets/BE-AI-001.md,doc-frozen,
BE-AI-002,P8,Not Started,docs/tickets/BE-AI-002.md,doc-frozen,
BE-AI-003,P8,Not Started,docs/tickets/BE-AI-003.md,doc-frozen,
BE-AI-004,P8,Not Started,docs/tickets/BE-AI-004.md,doc-frozen,
BE-AI-005,P8,Not Started,docs/tickets/BE-AI-005.md,doc-frozen,
BE-AI-006,P8,Not Started,docs/tickets/BE-AI-006.md,doc-frozen,
BE-AI-007,P8,Not Started,docs/tickets/BE-AI-007.md,doc-frozen,cites_HO_DEFAULTS
BE-AI-008,P8,Not Started,docs/tickets/BE-AI-008.md,doc-frozen,
BE-AI-009,P8,Not Started,docs/tickets/BE-AI-009.md,doc-frozen,
BE-AI-010,P8,Not Started,docs/tickets/BE-AI-010.md,doc-frozen,
BE-AI-011,P8,Not Started,docs/tickets/BE-AI-011.md,doc-frozen,
BE-AI-012,P8,Not Started,docs/tickets/BE-AI-012.md,doc-frozen,
BE-AI-013,P8,Not Started,docs/tickets/BE-AI-013.md,doc-frozen,
BE-AI-014,P8,Not Started,docs/tickets/BE-AI-014.md,doc-frozen,
BE-AI-015,P8,Not Started,docs/tickets/BE-AI-015.md,doc-frozen,
BE-AI-016,P8,Not Started,docs/tickets/BE-AI-016.md,doc-frozen,
BE-DAT-001,P9,Not Started,docs/tickets/BE-DAT-001.md,doc-frozen,cites_HO_DEFAULTS
BE-DAT-002,P9,Not Started,docs/tickets/BE-DAT-002.md,doc-frozen,
BE-DAT-003,P9,Not Started,docs/tickets/BE-DAT-003.md,doc-frozen,cites_HO_DEFAULTS
BE-DAT-004,P9,Not Started,docs/tickets/BE-DAT-004.md,doc-frozen,
BE-DAT-005,P9,Not Started,docs/tickets/BE-DAT-005.md,doc-frozen,
BE-DAT-006,P9,Not Started,docs/tickets/BE-DAT-006.md,doc-frozen,
BE-DAT-007,P9,Not Started,docs/tickets/BE-DAT-007.md,doc-frozen,
BE-DAT-008,P9,Not Started,docs/tickets/BE-DAT-008.md,doc-frozen,
BE-DAT-009,P9,Not Started,docs/tickets/BE-DAT-009.md,doc-frozen,
BE-DAT-010,P9,Not Started,docs/tickets/BE-DAT-010.md,doc-frozen,
BE-BIL-001,P10,Not Started,docs/tickets/BE-BIL-001.md,doc-frozen,cites_HO_DEFAULTS
BE-BIL-002,P10,Not Started,docs/tickets/BE-BIL-002.md,doc-frozen,
BE-BIL-003,P10,Not Started,docs/tickets/BE-BIL-003.md,doc-frozen,
BE-OPS-001,P10,Not Started,docs/tickets/BE-OPS-001.md,doc-frozen,
BE-OPS-002,P10,Not Started,docs/tickets/BE-OPS-002.md,doc-frozen,
BE-OPS-003,P10,Not Started,docs/tickets/BE-OPS-003.md,doc-frozen,
BE-OPS-004,P10,Not Started,docs/tickets/BE-OPS-004.md,doc-frozen,
BE-OPS-005,P10,Not Started,docs/tickets/BE-OPS-005.md,doc-frozen,
BE-DSK-001,P10,Not Started,docs/tickets/BE-DSK-001.md,doc-frozen,
BE-DSK-002,P10,Not Started,docs/tickets/BE-DSK-002.md,doc-frozen,
BE-DSK-003,P10,Not Started,docs/tickets/BE-DSK-003.md,doc-frozen,
BE-DSK-004,P10,Not Started,docs/tickets/BE-DSK-004.md,doc-frozen,
BE-DSK-005,P10,Not Started,docs/tickets/BE-DSK-005.md,doc-frozen,
BE-HRD-001,P11,Not Started,docs/tickets/BE-HRD-001.md,doc-frozen,
BE-HRD-002,P11,Not Started,docs/tickets/BE-HRD-002.md,doc-frozen,
BE-HRD-003,P11,Not Started,docs/tickets/BE-HRD-003.md,doc-frozen,
BE-HRD-004,P11,Not Started,docs/tickets/BE-HRD-004.md,doc-frozen,
BE-HRD-005,P11,Not Started,docs/tickets/BE-HRD-005.md,doc-frozen,
BE-HRD-006,P11,Not Started,docs/tickets/BE-HRD-006.md,doc-frozen,
BE-HRD-007,P11,Not Started,docs/tickets/BE-HRD-007.md,doc-frozen,
BE-HRD-008,P11,Not Started,docs/tickets/BE-HRD-008.md,doc-frozen,
BE-HRD-009,P11,Not Started,docs/tickets/BE-HRD-009.md,doc-frozen,
BE-HRD-010,P11,Not Started,docs/tickets/BE-HRD-010.md,doc-frozen,
